Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type
12.53,Regular,0.066,Snack Foods,145.62,2009,Medium,Tier 2,Supermarket Type2
13.29,Low Sugar,0.086,Canned,135.99,2009,Medium,Tier 2,Supermarket Type2
9.99,Regular,0.09,Fruits and Vegetables,125.79,1987,High,Tier 2,Supermarket Type1
10.72,No Sugar,0.049,Health and Hygiene,92.94,1998,Small,Tier 3,Food Mart
15.6,Low Sugar,0.121,Soft Drinks,176.07,1987,High,Tier 2,Supermarket Type1
11.87,Low Sugar,0.1,Baking Goods,130.28,2009,Medium,Tier 2,Supermarket Type2
11.13,Low Sugar,0.052,Dairy,135.49,2009,Medium,Tier 2,Supermarket Type2
14.02,Low Sugar,0.09,Soft Drinks,118.48,2009,Medium,Tier 2,Supermarket Type2
11.42,No Sugar,0.018,Household,147.95,2009,Medium,Tier 2,Supermarket Type2
9.55,Low Sugar,0.043,Soft Drinks,88.28,1998,Small,Tier 3,Food Mart
14.44,No Sugar,0.097,Household,218.42,1999,Medium,Tier 1,Departmental Store
10.95,Low Sugar,0.073,Starchy Foods,145.75,2009,Medium,Tier 2,Supermarket Type2
10.62,Low Sugar,0.107,Snack Foods,132.73,2009,Medium,Tier 2,Supermarket Type2
9.45,No Sugar,0.035,Household,129.31,1987,High,Tier 2,Supermarket Type1
12.76,Low Sugar,0.16,Fruits and Vegetables,160.7,2009,Medium,Tier 2,Supermarket Type2
12.94,Low Sugar,0.027,Soft Drinks,120.3,2009,Medium,Tier 2,Supermarket Type2
8.97,Low Sugar,0.02,Snack Foods,118.77,1998,Small,Tier 3,Food Mart
11.56,Low Sugar,0.086,Fruits and Vegetables,141.52,2009,Medium,Tier 2,Supermarket Type2
17.13,Low Sugar,0.147,Fruits and Vegetables,191.14,1999,Medium,Tier 1,Departmental Store
13.2,Low Sugar,0.133,Hard Drinks,119.63,2009,Medium,Tier 2,Supermarket Type2
14.44,Regular,0.019,Frozen Foods,141.72,2009,Medium,Tier 2,Supermarket Type2
11.17,Low Sugar,0.039,Hard Drinks,121.43,2009,Medium,Tier 2,Supermarket Type2
8.49,Low Sugar,0.199,Baking Goods,138.99,1987,High,Tier 2,Supermarket Type1
12.92,Regular,0.013,Snack Foods,117.1,2009,Medium,Tier 2,Supermarket Type2
19.22,Low Sugar,0.033,Snack Foods,212.36,1999,Medium,Tier 1,Departmental Store
12.67,Low Sugar,0.042,Breads,159.77,2009,Medium,Tier 2,Supermarket Type2
15.65,Regular,0.093,Frozen Foods,184.74,1987,High,Tier 2,Supermarket Type1
9.72,Low Sugar,0.162,Meat,113.3,1998,Small,Tier 3,Food Mart
14.51,Low Sugar,0.067,Frozen Foods,182.65,1987,High,Tier 2,Supermarket Type1
12.8,Low Sugar,0.016,Soft Drinks,194.7,1999,Medium,Tier 1,Departmental Store
16.8,Low Sugar,0.017,Seafood,160.69,1987,High,Tier 2,Supermarket Type1
15.05,Low Sugar,0.1,Canned,229.89,1999,Medium,Tier 1,Departmental Store
11.81,Regular,0.07,Frozen Foods,128.82,2009,Medium,Tier 2,Supermarket Type2
13.22,Regular,0.098,Canned,213.71,1987,High,Tier 2,Supermarket Type1
