Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type
13.64,No Sugar,0.071,Household,157.1,2009,Medium,Tier 2,Supermarket Type2
10.03,Low Sugar,0.016,Frozen Foods,126.66,1987,High,Tier 2,Supermarket Type1
12.26,Low Sugar,0.14,Snack Foods,138.27,2009,Medium,Tier 2,Supermarket Type2
10.28,Low Sugar,0.143,Canned,147.44,2009,Medium,Tier 2,Supermarket Type2
16.38,Low Sugar,0.082,Baking Goods,205.16,1999,Medium,Tier 1,Departmental Store
13.37,Low Sugar,0.113,Baking Goods,137.21,2009,Medium,Tier 2,Supermarket Type2
11.8,reg,0.029,Breads,144.64,2009,Medium,Tier 2,Supermarket Type2
9.61,Low Sugar,0.026,Snack Foods,161.79,2009,Medium,Tier 2,Supermarket Type2
11.98,Low Sugar,0.086,Fruits and Vegetables,125.08,2009,Medium,Tier 2,Supermarket Type2
11.5,Low Sugar,0.039,Dairy,159.66,2009,Medium,Tier 2,Supermarket Type2
12.66,Regular,0.153,Canned,151.92,2009,Medium,Tier 2,Supermarket Type2
9.18,Regular,0.171,Dairy,115.82,1998,Small,Tier 3,Food Mart
13.61,No Sugar,0.03,Household,146.14,2009,Medium,Tier 2,Supermarket Type2
13.18,No Sugar,0.059,Health and Hygiene,178.63,1999,Medium,Tier 1,Departmental Store
13.18,Low Sugar,0.056,Fruits and Vegetables,164.71,2009,Medium,Tier 2,Supermarket Type2
10.56,Regular,0.012,Baking Goods,131.37,2009,Medium,Tier 2,Supermarket Type2
15.45,No Sugar,0.036,Household,166.22,1999,Medium,Tier 1,Departmental Store
15.4,Low Sugar,0.128,Fruits and Vegetables,177.14,1987,High,Tier 2,Supermarket Type1
13.89,Low Sugar,0.047,Meat,153.26,2009,Medium,Tier 2,Supermarket Type2
13.31,Low Sugar,0.1,Snack Foods,160.34,2009,Medium,Tier 2,Supermarket Type2
10.43,Regular,0.077,Snack Foods,119.8,1999,Medium,Tier 1,Departmental Store
12.73,Low Sugar,0.056,Fruits and Vegetables,144.22,2009,Medium,Tier 2,Supermarket Type2
10.95,Low Sugar,0.027,Frozen Foods,120.35,2009,Medium,Tier 2,Supermarket Type2
13.64,Regular,0.016,Dairy,155.99,2009,Medium,Tier 2,Supermarket Type2
13.7,No Sugar,0.016,Health and Hygiene,136.46,2009,Medium,Tier 2,Supermarket Type2
12.74,Regular,0.025,Snack Foods,121.39,2009,Medium,Tier 2,Supermarket Type2
16.86,Low Sugar,0.061,Fruits and Vegetables,217.5,1999,Medium,Tier 1,Departmental Store
11.69,Low Sugar,0.076,Frozen Foods,141.63,2009,Medium,Tier 2,Supermarket Type2
11.76,Low Sugar,0.124,Frozen Foods,185.36,1987,High,Tier 2,Supermarket Type1
12.78,Low Sugar,0.058,Snack Foods,181.08,1987,High,Tier 2,Supermarket Type1
18.01,No Sugar,0.012,Health and Hygiene,229.54,1999,Medium,Tier 1,Departmental Store
9.99,Low Sugar,0.04,Hard Drinks,97.16,1998,Small,Tier 3,Food Mart
10.09,No Sugar,0.02,Household,116.0,1998,Small,Tier 3,Food Mart
11.0,Regular,0.078,Soft Drinks,167.49,2009,Medium,Tier 2,Supermarket Type2
9.5,Low Sugar,0.05,Fruits and Vegetables,80.23,1998,Small,Tier 3,Food Mart
13.61,Regular,0.056,Fruits and Vegetables,135.29,2009,Medium,Tier 2,Supermarket Type2
12.14,Low Sugar,0.09,Baking Goods,95.05,1998,Small,Tier 3,Food Mart
11.73,Regular,0.048,Soft Drinks,122.21,2009,Medium,Tier 2,Supermarket Type2
15.2,Low Sugar,0.013,Baking Goods,164.09,1999,Medium,Tier 1,Departmental Store
14.23,Regular,0.057,Soft Drinks,156.52,1987,High,Tier 2,Supermarket Type1
12.95,Regular,0.114,Baking Goods,134.98,2009,Medium,Tier 2,Supermarket Type2
13.13,Regular,0.095,Snack Foods,116.75,2009,Medium,Tier 2,Supermarket Type2
12.83,Low Sugar,0.011,Dairy,150.54,2009,Medium,Tier 2,Supermarket Type2
10.84,Low Sugar,0.049,Meat,124.93,1998,Small,Tier 3,Food Mart
10.92,Low Sugar,0.052,Fruits and Vegetables,100.26,1998,Small,Tier 3,Food Mart
13.68,Low Sugar,0.022,Canned,169.62,1987,High,Tier 2,Supermarket Type1
13.02,No Sugar,0.02,Health and Hygiene,136.03,2009,Medium,Tier 2,Supermarket Type2
11.73,Low Sugar,0.128,Soft Drinks,137.31,2009,Medium,Tier 2,Supermarket Type2
13.31,Low Sugar,0.066,Fruits and Vegetables,162.29,2009,Medium,Tier 2,Supermarket Type2
